FRA,26,41,34,101
USA,19,14,14,47
GBR,15,6,9,30
ZZX,6,3,3,12
SUI,6,2,1,9
BEL,5,5,5,15
GER,4,2,2,8
ITA,2,2,0,4
AUS,2,0,3,5
DEN,1,3,2,6
HUN,1,2,2,5
CUB,1,1,0,2
CAN,1,0,1,2
ESP,1,0,0,1
AUT,0,3,3,6
NOR,0,2,3,5
IND,0,2,0,2
NED,0,1,3,4
BOH,0,1,1,2
MEX,0,0,1,1
SWE,0,0,1,1
