United States (USA)	41	27	27	95
 Sweden (SWE)[1]	19	20	25	64
 Great Britain (GBR)	15	15	13	43
 Finland (FIN)	15	10	9	34
 Belgium (BEL)	14	11	11	36
 Norway (NOR)	13	9	9	31
 Italy (ITA)	13	5	5	23
 France (FRA)	9	19	13	41
 Netherlands (NED)	4	2	5	11
 Denmark (DEN)	3	9	1	13
 South Africa (RSA)	3	4	3	10
 Canada (CAN)	3	3	3	9
 Switzerland (SUI)	2	2	7	11
 Estonia (EST)	1	2	0	3
 Brazil (BRA)	1	1	1	3
 Australia (AUS)	0	2	1	3
 Japan (JPN)	0	2	0	2
 Spain (ESP)	0	2	0	2
 Greece (GRE)	0	1	0	1
 Luxembourg (LUX)	0	1	0	1
 Czechoslovakia (TCH)	0	0	2	2
 New Zealand (NZL)	0	0	1	1
