Country,Gold,Silver,Bronze,Total
USA,22,18,16,56
DEU,10,7,14,31
FIN,8,8,9,25
SWE,7,6,12,25
ITA,7,5,7,19
SUI,7,4,4,15
FRA,6,10,5,21
NED,6,9,4,19
HUN,4,5,0,9
CAN,4,4,7,15
GBR,3,10,7,20
ARG,3,3,1,7
DEN,3,1,2,6
TCH,2,5,2,9
JPN,2,2,1,5
EST,2,1,2,5
EGY,2,1,1,4
AUT,2,0,1,3
AUS,1,2,1,4
NOR,1,2,1,4
POL,1,1,3,5
YUG,1,1,3,5
RSA,1,0,2,3
IND,1,0,0,1
IRL,1,0,0,1
NZL,1,0,0,1
ESP,1,0,0,1
URU,1,0,0,1
BEL,0,1,2,3
CHI,0,1,0,1
HAI,0,1,0,1
PHI,0,0,1,1
POR,0,0,1,1
