United States (USA)	22	18	16	56
 Germany (GER)	10	7	14	31
 Finland (FIN)	8	8	9	25
 Sweden (SWE)	7	6	12	25
 Italy (ITA)	7	5	7	19
 Switzerland (SUI)	7	4	4	15
 France (FRA)	6	10	5	21
 Netherlands (NED)	6	9	4	19
 Hungary (HUN)	4	5	0	9
 Canada (CAN)	4	4	7	15
 Great Britain (GBR)	3	10	7	20
 Argentina (ARG)	3	3	1	7
 Denmark (DEN)	3	1	2	6
 Czechoslovakia (TCH)	2	5	2	9
 Japan (JPN)	2	2	1	5
 Estonia (EST)	2	1	2	5
 Egypt (EGY)	2	1	1	4
 Austria (AUT)	2	0	1	3
 Australia (AUS)	1	2	1	4
 Norway (NOR)	1	2	1	4
 Poland (POL)	1	1	3	5
 Yugoslavia (YUG)	1	1	3	5
 South Africa (RSA)	1	0	2	3
 India (IND)	1	0	0	1
 Ireland (IRL)	1	0	0	1
 New Zealand (NZL)	1	0	0	1
 Spain (ESP)	1	0	0	1
 Uruguay (URU)	1	0	0	1
 Belgium (BEL)	0	1	2	3
 Chile (CHI)	0	1	0	1
 Haiti (HAI)	0	1	0	1
 Philippines (PHI)	0	0	1	1
 Portugal (POR)	0	0	1	1
