Country,Gold,Silver,Bronze,Total
USA,40,19,17,76
URS,22,30,19,71
HUN,16,10,16,42
SWE,12,13,10,35
ITA,8,9,4,21
TCH,7,3,3,13
FRA,6,6,6,18
FIN,6,3,13,22
AUS,6,2,3,11
NOR,3,2,0,5
SUI,2,6,6,14
RSA,2,4,4,10
JAM,2,3,0,5
BEL,2,2,0,4
DEN,2,1,3,6
TUR,2,0,1,3
JPN,1,6,2,9
GBR,1,2,8,11
ARG,1,2,2,5
POL,1,2,1,4
CAN,1,2,0,3
YUG,1,2,0,3
ROU,1,1,2,4
BRA,1,0,2,3
NZL,1,0,2,3
IND,1,0,1,2
LUX,1,0,0,1
DEU,0,7,17,24
NLD,0,5,0,5
IRI,0,3,4,7
CHI,0,2,0,2
AUT,0,1,1,2
LIB,0,1,1,2
IRL,0,1,0,1
MEX,0,1,0,1
ESP,0,1,0,1
KOR,0,0,2,2
TRI,0,0,2,2
URU,0,0,2,2
BUL,0,0,1,1
EGY,0,0,1,1
POR,0,0,1,1
VEN,0,0,1,1
