Country,Gold,Silver,Bronze,Total
URS,37,29,32,98
USA,32,25,17,74
AUS,13,8,14,35
HUN,9,10,7,26
ITA,8,8,9,25
SWE,8,5,6,19
EUA,6,13,7,26
GBR,6,7,11,24
ROU,5,3,5,13
JPN,4,10,5,19
FRA,4,4,6,14
TUR,3,2,2,7
FIN,3,1,11,15
IRI,2,2,1,5
CAN,2,1,3,6
NZL,2,0,0,2
POL,1,4,4,9
TCH,1,4,1,6
BUL,1,3,1,5
DEN,1,2,1,4
IRL,1,1,3,5
NOR,1,0,2,3
MEX,1,0,1,2
BRA,1,0,0,1
IND,1,0,0,1
YUG,0,3,0,3
CHI,0,2,2,4
BEL,0,2,0,2
ARG,0,1,1,2
KOR,0,1,1,2
ISL,0,1,0,1
PAK,0,1,0,1
RSA,0,0,4,4
AUT,0,0,2,2
BAH,0,0,1,1
GRE,0,0,1,1
SUI,0,0,1,1
URU,0,0,1,1
