Country,Gold,Silver,Bronze,Total
USA,36,26,28,90
URS,30,31,35,96
JPN,16,5,8,29
EUA,10,22,18,50
ITA,10,10,7,27
HUN,10,7,5,22
POL,7,6,10,23
AUS,6,2,10,18
TCH,5,6,3,14
GBR,4,12,2,18
BUL,3,5,2,10
FIN,3,0,2,5
NZL,3,0,2,5
ROU,2,4,6,12
NLD,2,4,4,10
TUR,2,3,1,6
SWE,2,2,4,8
DEN,2,1,3,6
YUG,2,1,2,5
BEL,2,0,1,3
FRA,1,8,6,15
CAN,1,2,1,4
SUI,1,2,1,4
BAH,1,0,0,1
ETH,1,0,0,1
IND,1,0,0,1
KOR,0,2,1,3
TRI,0,1,2,3
TUN,0,1,1,2
ARG,0,1,0,1
CUB,0,1,0,1
PAK,0,1,0,1
PHI,0,1,0,1
IRI,0,0,2,2
BRA,0,0,1,1
GHA,0,0,1,1
IRL,0,0,1,1
KEN,0,0,1,1
MEX,0,0,1,1
NGR,0,0,1,1
URU,0,0,1,1
