Country,Gold,Silver,Bronze,Total
USA,45,28,34,107
URS,29,32,30,91
JPN,11,7,7,25
HUN,10,10,12,32
GDR,9,9,7,25
FRA,7,3,5,15
TCH,7,2,4,13
FRG,5,11,10,26
AUS,5,7,5,17
GBR,5,5,3,13
POL,5,2,11,18
ROU,4,6,5,15
ITA,3,4,9,16
KEN,3,4,2,9
MEX,3,3,3,9
YUG,3,3,2,8
NLD,3,3,1,7
BUL,2,4,3,9
IRI,2,1,2,5
SWE,2,1,1,4
TUR,2,0,0,2
DEN,1,4,3,8
CAN,1,3,1,5
FIN,1,2,1,4
ETH,1,1,0,2
NOR,1,1,0,2
NZL,1,0,2,3
TUN,1,0,1,2
PAK,1,0,0,1
VEN,1,0,0,1
CUB,0,4,0,4
AUT,0,2,2,4
SUI,0,1,4,5
MGL,0,1,3,4
BRA,0,1,2,3
BEL,0,1,1,2
KOR,0,1,1,2
UGA,0,1,1,2
CMR,0,1,0,1
JAM,0,1,0,1
ARG,0,0,2,2
GRE,0,0,1,1
IND,0,0,1,1
ROC,0,0,1,1
