Soviet Union (URS)	50	27	22	99
 United States (USA)	33	31	30	94
 East Germany (GDR)	20	23	23	66
 West Germany (FRG)	13	11	16	40
 Japan (JPN)	13	8	8	29
 Australia (AUS)	8	7	2	17
 Poland (POL)	7	5	9	21
 Hungary (HUN)	6	13	16	35
 Bulgaria (BUL)	6	10	5	21
 Italy (ITA)	5	3	10	18
 Sweden (SWE)	4	6	6	16
 Great Britain (GBR)	4	5	9	18
 Romania (ROU)	3	6	7	16
 Cuba (CUB)	3	1	4	8
 Finland (FIN)	3	1	4	8
 Netherlands (NED)	3	1	1	5
 France (FRA)	2	4	7	13
 Czechoslovakia (TCH)	2	4	2	8
 Kenya (KEN)	2	3	4	9
 Yugoslavia (YUG)	2	1	2	5
 Norway (NOR)	2	1	1	4
 North Korea (PRK)	1	1	3	5
 New Zealand (NZL)	1	1	1	3
 Uganda (UGA)	1	1	0	2
 Denmark (DEN)	1	0	0	1
 Switzerland (SUI)	0	3	0	3
 Canada (CAN)	0	2	3	5
 Iran (IRI)	0	2	1	3
 Belgium (BEL)	0	2	0	2
 Greece (GRE)	0	2	0	2
 Austria (AUT)	0	1	2	3
 Colombia (COL)	0	1	2	3
 Argentina (ARG)	0	1	0	1
 South Korea (KOR)	0	1	0	1
 Lebanon (LIB)	0	1	0	1
 Mexico (MEX)	0	1	0	1
 Mongolia (MGL)	0	1	0	1
 Pakistan (PAK)	0	1	0	1
 Tunisia (TUN)	0	1	0	1
 Turkey (TUR)	0	1	0	1
 Brazil (BRA)	0	0	2	2
 Ethiopia (ETH)	0	0	2	2
 Ghana (GHA)	0	0	1	1
 India (IND)	0	0	1	1
 Jamaica (JAM)	0	0	1	1
 Niger (NIG)	0	0	1	1
 Nigeria (NGR)	0	0	1	1
 Spain (ESP)	0	0	1	1
