Soviet Union (URS)	49	41	35	125
 East Germany (GDR)	40	25	25	90
 United States (USA)	34	35	25	94
 West Germany (FRG)	10	12	17	39
 Japan (JPN)	9	6	10	25
 Poland (POL)	7	6	13	26
 Bulgaria (BUL)	6	9	7	22
 Cuba (CUB)	6	4	3	13
 Romania (ROU)	4	9	14	27
 Hungary (HUN)	4	5	13	22
 Finland (FIN)	4	2	0	6
 Sweden (SWE)	4	1	0	5
 Great Britain (GBR)	3	5	5	13
 Italy (ITA)	2	7	4	13
 France (FRA)	2	3	4	9
 Yugoslavia (YUG)	2	3	3	8
 Czechoslovakia (TCH)	2	2	4	8
 New Zealand (NZL)	2	1	1	4
 South Korea (KOR)	1	1	4	6
 Switzerland (SUI)	1	1	2	4
 Jamaica (JAM)	1	1	0	2
 North Korea (PRK)	1	1	0	2
 Norway (NOR)	1	1	0	2
 Denmark (DEN)	1	0	2	3
 Mexico (MEX)	1	0	1	2
 Trinidad and Tobago (TRI)	1	0	0	1
 Canada (CAN)	0	5	6	11
 Belgium (BEL)	0	3	3	6
 Netherlands (NED)	0	2	3	5
 Portugal (POR)	0	2	0	2
 Spain (ESP)	0	2	0	2
 Australia (AUS)	0	1	4	5
 Iran (IRI)	0	1	1	2
 Mongolia (MGL)	0	1	0	1
 Venezuela (VEN)	0	1	0	1
 Brazil (BRA)	0	0	2	2
 Austria (AUT)	0	0	1	1
 Bermuda (BER)	0	0	1	1
 Pakistan (PAK)	0	0	1	1
 Puerto Rico (PUR)	0	0	1	1
 Thailand (THA)	0	0	1	1
