Soviet Union (URS)	80	69	46	195
 East Germany (GDR)	47	37	42	126
 Bulgaria (BUL)	8	16	17	41
 Cuba (CUB)	8	7	5	20
 Italy (ITA)	8	3	4	15
 Hungary (HUN)	7	10	15	32
 Romania (ROU)	6	6	13	25
 France (FRA)	6	5	3	14
 Great Britain (GBR)	5	7	9	21
 Poland (POL)	3	14	15	32
 Sweden (SWE)	3	3	6	12
 Finland (FIN)	3	1	4	8
 Czechoslovakia (TCH)	2	3	9	14
 Yugoslavia (YUG)	2	3	4	9
 Australia (AUS)	2	2	5	9
 Denmark (DEN)	2	1	2	5
 Brazil (BRA)	2	0	2	4
 Ethiopia (ETH)	2	0	2	4
 Switzerland (SUI)	2	0	0	2
 Spain (ESP)	1	3	2	6
 Austria (AUT)	1	2	1	4
 Greece (GRE)	1	0	2	3
 Belgium (BEL)	1	0	0	1
 India (IND)	1	0	0	1
 Zimbabwe (ZIM)	1	0	0	1
 North Korea (PRK)	0	3	2	5
 Mongolia (MGL)	0	2	2	4
 Tanzania (TAN)	0	2	0	2
 Mexico (MEX)	0	1	3	4
 Netherlands (NED)	0	1	2	3
 Ireland (IRL)	0	1	1	2
 Uganda (UGA)	0	1	0	1
 Venezuela (VEN)	0	1	0	1
 Jamaica (JAM)	0	0	3	3
 Guyana (GUY)	0	0	1	1
 Lebanon (LIB)	0	0	1	1
