Country,Gold,Silver,Bronze,Total
URS,55,31,46,132
GDR,37,35,30,102
USA,36,31,27,94
KOR,12,10,11,33
FRG,11,14,15,40
HUN,11,6,6,23
BUL,10,12,13,35
ROU,7,11,6,24
FRA,6,4,6,16
ITA,6,4,4,14
CHN,5,11,12,28
GBR,5,10,9,24
KEN,5,2,2,9
JPN,4,3,7,14
AUS,3,6,5,14
YUG,3,4,5,12
TCH,3,3,2,8
NZL,3,2,8,13
CAN,3,2,5,10
POL,2,5,9,16
NOR,2,3,0,5
NLD,2,2,5,9
DEN,2,1,1,4
BRA,1,2,3,6
FIN,1,1,2,4
ESP,1,1,2,4
TUR,1,1,0,2
MAR,1,0,2,3
AUT,1,0,0,1
POR,1,0,0,1
SUR,1,0,0,1
SWE,0,4,7,11
SUI,0,2,2,4
JAM,0,2,0,2
ARG,0,1,1,2
CHI,0,1,0,1
CRC,0,1,0,1
INA,0,1,0,1
IRI,0,1,0,1
AHO,0,1,0,1
PER,0,1,0,1
SEN,0,1,0,1
ISV,0,1,0,1
BEL,0,0,2,2
MEX,0,0,2,2
COL,0,0,1,1
DJI,0,0,1,1
GRE,0,0,1,1
MGL,0,0,1,1
PAK,0,0,1,1
PHI,0,0,1,1
THA,0,0,1,1
