Country,Gold,Silver,Bronze,Total
URS,11,8,6,25
AUT,4,5,3,12
NOR,3,6,6,15
FIN,3,4,3,10
FRA,3,4,0,7
EUA,3,3,3,9
SWE,3,3,1,7
USA,1,2,4,7
CAN,1,1,1,3
NLD,1,1,0,2
GBR,1,0,0,1
ITA,0,1,3,4
PRK,0,1,0,1
TCH,0,0,1,1
