Country,Gold,Silver,Bronze,Total
URS,13,6,8,27
GDR,7,5,7,19
USA,3,3,4,10
NOR,3,3,1,7
FRG,2,5,3,10
FIN,2,4,1,7
AUT,2,2,2,6
SUI,1,3,1,5
NLD,1,2,3,6
ITA,1,2,1,4
CAN,1,1,1,3
GBR,1,0,0,1
TCH,0,1,0,1
LIE,0,0,2,2
SWE,0,0,2,2
FRA,0,0,1,1
