Germany (GER)	11	12	6	29
 United States (USA)	9	9	7	25
 Austria (AUT)	9	7	7	23
 Russia (RUS)	8	6	8	22
 Canada (CAN)	7	10	7	24
 Sweden (SWE)	7	2	5	14
 South Korea (KOR)	6	3	2	11
 Switzerland (SUI)	5	4	5	14
 Italy (ITA)*	5	0	6	11
 France (FRA)	3	2	4	9
 Netherlands (NED)	3	2	4	9
 Estonia (EST)	3	0	0	3
 Norway (NOR)	2	8	9	19
 China (CHN)	2	4	5	11
 Czech Republic (CZE)	1	2	1	4
 Croatia (CRO)	1	2	0	3
 Australia (AUS)	1	0	1	2
 Japan (JPN)	1	0	0	1
 Finland (FIN)	0	6	3	9
 Poland (POL)	0	1	1	2
 Belarus (BLR)	0	1	0	1
 Bulgaria (BUL)	0	1	0	1
 Great Britain (GBR)	0	1	0	1
 Slovakia (SVK)	0	1	0	1
 Ukraine (UKR)	0	0	2	2
 Latvia (LAT)	0	0	1	1
