Country,Gold,Silver,Bronze,Total
GBR,56,51,39,146
USA,23,12,12,47
SWE,8,6,11,25
FRA,5,5,9,19
DEU,3,5,5,13
HUN,3,4,2,9
CAN,3,3,10,16
NOR,2,3,3,8
ITA,2,2,0,4
BEL,1,5,2,8
ANZ,1,2,2,5
RU1,1,2,0,3
FIN,1,1,3,5
ZAF,1,1,0,2
GRC,0,3,1,4
DNK,0,2,3,5
BOH,0,0,2,2
NLD,0,0,2,2
AUT,0,0,1,1
