Country,Gold,Silver,Bronze,Total
URS,43,29,31,103
USA,34,21,16,71
ITA,13,10,13,36
EUA,12,19,11,42
AUS,8,8,6,22
TUR,7,2,0,9
HUN,6,8,7,21
JPN,4,7,7,18
POL,4,6,11,21
TCH,3,2,3,8
ROU,3,1,6,10
GBR,2,6,12,20
DNK,2,3,1,6
NZL,2,0,1,3
BGR,1,3,3,7
SWE,1,2,3,6
FIN,1,1,3,5
AUT,1,1,0,2
YUG,1,1,0,2
PAK,1,0,1,2
ETH,1,0,0,1
GRC,1,0,0,1
NOR,1,0,0,1
CHE,0,3,3,6
FRA,0,2,3,5
BEL,0,2,2,4
IRN,0,1,3,4
NLD,0,1,2,3
ZAF,0,1,2,3
ARG,0,1,1,2
EGY,0,1,1,2
CAN,0,1,0,1
ROC,0,1,0,1
GHA,0,1,0,1
IND,0,1,0,1
MAR,0,1,0,1
PRT,0,1,0,1
SIN,0,1,0,1
BRA,0,0,2,2
BWI,0,0,2,2
IraqIRQ,0,0,1,1
MEX,0,0,1,1
ESP,0,0,1,1
VEN,0,0,1,1
