Country,Gold,Silver,Bronze,Total
URS,50,27,22,99
USA,33,31,30,94
GDR,20,23,23,66
FRG,13,11,16,40
JPN,13,8,8,29
AUS,8,7,2,17
POL,7,5,9,21
HUN,6,13,16,35
BGR,6,10,5,21
ITA,5,3,10,18
SWE,4,6,6,16
GBR,4,5,9,18
ROU,3,6,7,16
CUB,3,1,4,8
FIN,3,1,4,8
NLD,3,1,1,5
FRA,2,4,7,13
TCH,2,4,2,8
KEN,2,3,4,9
YUG,2,1,2,5
NOR,2,1,1,4
PRK,1,1,3,5
NZL,1,1,1,3
UGA,1,1,0,2
DNK,1,0,0,1
CHE,0,3,0,3
CAN,0,2,3,5
IRN,0,2,1,3
BEL,0,2,0,2
GRC,0,2,0,2
AUT,0,1,2,3
COL,0,1,2,3
ARG,0,1,0,1
KOR,0,1,0,1
LIB,0,1,0,1
MEX,0,1,0,1
MNG,0,1,0,1
PAK,0,1,0,1
TUN,0,1,0,1
TUR,0,1,0,1
BRA,0,0,2,2
ETH,0,0,2,2
GHA,0,0,1,1
IND,0,0,1,1
JAM,0,0,1,1
NER,0,0,1,1
NGA,0,0,1,1
ESP,0,0,1,1
