Country,Gold,Silver,Bronze,Total
EUN,45,38,29,112
USA,37,34,37,108
DEU,33,21,28,82
CHN,16,22,16,54
CUB,14,6,11,31
ESP,13,7,2,22
KOR,12,5,12,29
HUN,11,12,7,30
FRA,8,5,16,29
AUS,7,9,11,27
CAN,7,4,7,18
ITA,6,5,8,19
GBR,5,3,12,20
ROU,4,6,8,18
TCH,4,2,1,7
PRK,4,0,5,9
JPN,3,8,11,22
BGR,3,7,6,16
POL,3,6,10,19
NLD,2,6,7,15
KEN,2,4,2,8
NOR,2,4,1,7
TUR,2,2,2,6
IDN,2,2,1,5
BRA,2,1,0,3
GRC,2,0,0,2
SWE,1,7,4,12
NZL,1,4,5,10
FIN,1,2,2,5
DNK,1,1,4,6
MAR,1,1,1,3
IRL,1,1,0,2
ETH,1,0,2,3
DZA,1,0,1,2
EST,1,0,1,2
LTU,1,0,1,2
CHE,1,0,0,1
JAM,0,3,1,4
NGA,0,3,1,4
LVA,0,2,1,3
AUT,0,2,0,2
NAM,0,2,0,2
ZAF,0,2,0,2
BEL,0,1,2,3
HRV,0,1,2,3
IOP,0,1,2,3
IRN,0,1,2,3
ISR,0,1,1,2
TPE,0,1,0,1
MEX,0,1,0,1
PER,0,1,0,1
MNG,0,0,2,2
SVN,0,0,2,2
ARG,0,0,1,1
BHS,0,0,1,1
COL,0,0,1,1
GHA,0,0,1,1
MYS,0,0,1,1
PAK,0,0,1,1
PHL,0,0,1,1
PRI,0,0,1,1
QAT,0,0,1,1
SUR,0,0,1,1
THA,0,0,1,1
