Country,Gold,Silver,Bronze,Total
CHN,48,22,30,100
USA,36,39,37,112
RUS,24,13,23,60
GBR,19,13,17,49
DEU,16,11,14,41
AUS,14,15,17,46
KOR,13,11,8,32
JPN,9,7,9,25
ITA,8,9,10,27
FRA,7,16,20,43
NLD,7,5,4,16
UKR,7,4,11,22
KEN,6,4,6,16
ESP,5,11,3,19
JAM,5,4,1,10
POL,4,5,2,11
ETH,4,2,1,7
ROU,4,1,4,9
CUB,3,10,16,29
CAN,3,9,8,20
HUN,3,5,2,10
NOR,3,5,1,9
BRA,3,4,9,16
BLR,3,4,7,14
CZE,3,3,1,7
SVK,3,3,0,6
NZL,3,2,4,9
GEO,3,2,2,7
KAZ,2,2,4,8
DNK,2,2,3,7
PRK,2,2,2,6
THA,2,2,2,6
MNG,2,2,0,4
CHE,2,1,4,7
ARG,2,0,4,6
MEX,2,0,2,4
BEL,2,0,0,2
ZWE,1,3,0,4
SVN,1,2,2,5
AZE,1,1,4,6
IDN,1,1,4,6
BGR,1,1,3,5
TUR,1,1,3,5
FIN,1,1,2,4
TPE,1,1,2,4
LVA,1,1,1,3
DOM,1,1,0,2
EST,1,1,0,2
PRT,1,1,0,2
IND,1,0,2,3
IRN,1,0,1,2
CMR,1,0,0,1
PAN,1,0,0,1
TUN,1,0,0,1
SWE,0,4,1,5
LTU,0,3,2,5
NGA,0,3,2,5
HRV,0,2,3,5
COL,0,2,1,3
GRC,0,2,1,3
TRI,0,2,0,2
ARM,0,1,4,5
UZB,0,1,3,4
AUT,0,1,2,3
IRL,0,1,2,3
KGZ,0,1,2,3
SRB,0,1,2,3
DZA,0,1,1,2
BHS,0,1,1,2
MAR,0,1,1,2
TJK,0,1,1,2
CHL,0,1,0,1
ECU,0,1,0,1
ISL,0,1,0,1
MYS,0,1,0,1
SAM,0,1,0,1
SIN,0,1,0,1
ZAF,0,1,0,1
SDN,0,1,0,1
VNM,0,1,0,1
EGY,0,0,2,2
AFG,0,0,1,1
ISR,0,0,1,1
MRI,0,0,1,1
MDA,0,0,1,1
TGO,0,0,1,1
VEN,0,0,1,1
