Country,Gold,Silver,Bronze,Total
DEU,10,10,6,26
EUN,9,6,8,23
NOR,9,6,5,20
AUT,6,7,8,21
USA,5,4,2,11
ITA,4,6,4,14
FRA,3,5,1,9
FIN,3,1,3,7
CAN,2,3,2,7
KOR,2,1,1,4
JPN,1,2,4,7
NLD,1,1,2,4
SWE,1,0,3,4
CHE,1,0,2,3
CHN,0,3,0,3
LUX,0,2,0,2
NZL,0,1,0,1
TCH,0,0,3,3
PRK,0,0,1,1
ESP,0,0,1,1
