Country,Gold,Silver,Bronze,Total
CAN,14,7,5,26
DEU,10,13,7,30
USA,9,15,13,37
NOR,9,8,6,23
KOR,6,6,2,14
CHE,6,0,3,9
CHN,5,2,4,11
SWE,5,2,4,11
AUT,4,6,6,16
NLD,4,1,3,8
RUS,3,5,7,15
FRA,2,3,6,11
AUS,2,1,0,3
CZE,2,0,4,6
POL,1,3,2,6
ITA,1,1,3,5
BLR,1,1,1,3
SVK,1,1,1,3
GBR,1,0,0,1
JPN,0,3,2,5
HRV,0,2,1,3
SVN,0,2,1,3
LVA,0,2,0,2
FIN,0,1,4,5
EST,0,1,0,1
KAZ,0,1,0,1
